Year,Density,World_Population
2024,55,8161972572
2023,54,8091734930
2022,54,8021407192
2021,53,7954448391
2020,53,7887001292
2019,52,7811293698
2018,52,7729902781
2017,51,7645617954
2016,51,7558554526
2015,50,7470491872
2014,50,7381616244
2013,49,7291793585
2012,48,7201202485
2011,48,7110923765
2010,47,7021732148
2009,47,6932766416
2008,46,6844457662
2007,45,6757308781
2006,45,6671452015
2005,44,6586970132
2004,44,6503377772
2003,43,6420361634
2002,43,6337730342
2001,42,6254936459
2000,41,6171702993
1999,41,6089006339
1998,40,6007066690
1997,40,5924787816
1996,39,5842055734
1995,39,5758878982
1994,38,5675551255
1993,38,5591544797
1992,37,5505989816
1991,36,5418735891
1990,36,5327803110
1989,35,5234431732
1988,35,5141992542
1987,34,5049746397
1986,33,4958072838
1985,33,4868943465
1984,32,4782175519
1983,32,4697327573
1982,31,4612673421
1981,30,4528777306
1980,30,4447606236
1979,29,4368539528
1978,29,4292097502
1977,28,4217863796
1976,28,4144246377
1975,27,4070735277
1974,27,3996416096
1973,26,3920805042
1972,26,3844917680
1971,25,3769847865
1970,25,3694683794
1969,24,3619491579
1968,24,3545187251
1967,23,3473412880
1966,23,3404041125
1965,22,3334533703
1964,22,3264487339
1963,21,3192807828
1962,21,3123374315
1961,21,3064869675
1960,20,3015470894
1959,20,2965950351
1958,20,2911249671
1957,19,2852618337
1956,19,2795409994
1955,18,2740213792
1954,18,2685894860
1953,18,2634106235
1952,17,2584086339
,,
